dataset,classifier,fold,metric,value
iris,BernoulliNB,9,brier_score,0.39833035723863913
iris,BernoulliNB,9,ece,0.15613829380139801
iris,BernoulliNB,9,balanced_accuracy,0.7333333333333334
iris,BernoulliNB,9,geometric_mean,0.6839903786706788
iris,BernoulliNB,9,mcc,0.6123724356957945
iris,BernoulliNB,9,weighted_f1,0.7121212121212122
iris,BernoulliNB,9,fit_time,0.0020003318786621094
iris,BernoulliNB,9,predict_time,0.0
iris,ComplementNB,0,accuracy,0.6666666666666666
iris,ComplementNB,0,macro_f1,0.5555555555555555
iris,ComplementNB,0,auc_roc,0.9066666666666667
iris,ComplementNB,0,log_loss,0.9902933151769779
iris,ComplementNB,0,brier_score,0.5919422846987626
iris,ComplementNB,0,ece,0.2865143354458437
iris,ComplementNB,0,balanced_accuracy,0.6666666666666666
iris,ComplementNB,0,geometric_mean,0.0
iris,ComplementNB,0,mcc,0.6123724356957945
iris,ComplementNB,0,weighted_f1,0.5555555555555555
iris,ComplementNB,0,fit_time,0.001001119613647461
iris,ComplementNB,0,predict_time,0.0
iris,ComplementNB,1,accuracy,0.6666666666666666
iris,ComplementNB,1,macro_f1,0.5411255411255411
iris,ComplementNB,1,auc_roc,0.9066666666666666
iris,ComplementNB,1,log_loss,0.998035211876234
iris,ComplementNB,1,brier_score,0.5971529657133071
iris,ComplementNB,1,ece,0.28915623722926853
iris,ComplementNB,1,balanced_accuracy,0.6666666666666666
iris,ComplementNB,1,geometric_mean,0.0
iris,ComplementNB,1,mcc,0.5892556509887896
iris,ComplementNB,1,weighted_f1,0.5411255411255411
iris,ComplementNB,1,fit_time,0.0010001659393310547
iris,ComplementNB,1,predict_time,0.0
iris,ComplementNB,2,accuracy,0.6666666666666666
iris,ComplementNB,2,macro_f1,0.5555555555555555
iris,ComplementNB,2,auc_roc,0.9066666666666667
iris,ComplementNB,2,log_loss,0.9921854177590012
iris,ComplementNB,2,brier_score,0.5939152927878375
iris,ComplementNB,2,ece,0.2864445591934359
iris,ComplementNB,2,balanced_accuracy,0.6666666666666666
iris,ComplementNB,2,geometric_mean,0.0
iris,ComplementNB,2,mcc,0.6123724356957945
iris,ComplementNB,2,weighted_f1,0.5555555555555555
iris,ComplementNB,2,fit_time,0.0009996891021728516
iris,ComplementNB,2,predict_time,0.0
iris,ComplementNB,3,accuracy,0.6666666666666666
iris,ComplementNB,3,macro_f1,0.5555555555555555
iris,ComplementNB,3,auc_roc,0.8866666666666667
iris,ComplementNB,3,log_loss,0.9914602134324679
iris,ComplementNB,3,brier_score,0.5931611155799347
iris,ComplementNB,3,ece,0.28709717588375866
iris,ComplementNB,3,balanced_accuracy,0.6666666666666666
iris,ComplementNB,3,geometric_mean,0.0
iris,ComplementNB,3,mcc,0.6123724356957945
iris,ComplementNB,3,weighted_f1,0.5555555555555555
iris,ComplementNB,3,fit_time,0.0
iris,ComplementNB,3,predict_time,0.0010006427764892578
iris,ComplementNB,4,accuracy,0.6666666666666666
iris,ComplementNB,4,macro_f1,0.5555555555555555
iris,ComplementNB,4,auc_roc,0.82
iris,ComplementNB,4,log_loss,1.0083727751515839
iris,ComplementNB,4,brier_score,0.6046159950471455
iris,ComplementNB,4,ece,0.2940525330507743
iris,ComplementNB,4,balanced_accuracy,0.6666666666666666
iris,ComplementNB,4,geometric_mean,0.0
iris,ComplementNB,4,mcc,0.6123724356957945
iris,ComplementNB,4,weighted_f1,0.5555555555555555
iris,ComplementNB,4,fit_time,0.0010008811950683594
iris,ComplementNB,4,predict_time,0.0
iris,ComplementNB,5,accuracy,0.6666666666666666
iris,ComplementNB,5,macro_f1,0.5555555555555555
iris,ComplementNB,5,auc_roc,0.88
iris,ComplementNB,5,log_loss,0.994280191660563
iris,ComplementNB,5,brier_score,0.5952024323853872
iris,ComplementNB,5,ece,0.28835448296714256
iris,ComplementNB,5,balanced_accuracy,0.6666666666666666
iris,ComplementNB,5,geometric_mean,0.0
iris,ComplementNB,5,mcc,0.6123724356957945
iris,ComplementNB,5,weighted_f1,0.5555555555555555
iris,ComplementNB,5,fit_time,0.0010008811950683594
iris,ComplementNB,5,predict_time,0.0
iris,ComplementNB,6,accuracy,0.6666666666666666
iris,ComplementNB,6,macro_f1,0.5555555555555555
iris,ComplementNB,6,auc_roc,0.8733333333333334
iris,ComplementNB,6,log_loss,1.0047211061721033
iris,ComplementNB,6,brier_score,0.602443124695707
iris,ComplementNB,6,ece,0.2936426005779701
iris,ComplementNB,6,balanced_accuracy,0.6666666666666666
iris,ComplementNB,6,geometric_mean,0.0
iris,ComplementNB,6,mcc,0.6123724356957945
iris,ComplementNB,6,weighted_f1,0.5555555555555555
iris,ComplementNB,6,fit_time,0.0010006427764892578
iris,ComplementNB,6,predict_time,0.0
iris,ComplementNB,7,accuracy,0.6666666666666666
iris,ComplementNB,7,macro_f1,0.5555555555555555
iris,ComplementNB,7,auc_roc,0.8666666666666667
iris,ComplementNB,7,log_loss,1.0026086164941952
iris,ComplementNB,7,brier_score,0.6002875567358515
iris,ComplementNB,7,ece,0.2927878933079462
iris,ComplementNB,7,balanced_accuracy,0.6666666666666666
iris,ComplementNB,7,geometric_mean,0.0
iris,ComplementNB,7,mcc,0.6123724356957945
iris,ComplementNB,7,weighted_f1,0.5555555555555555
iris,ComplementNB,7,fit_time,0.0010004043579101562
iris,ComplementNB,7,predict_time,0.0
iris,ComplementNB,8,accuracy,0.6666666666666666
iris,ComplementNB,8,macro_f1,0.5555555555555555
iris,ComplementNB,8,auc_roc,0.9133333333333334
iris,ComplementNB,8,log_loss,0.991895039835286
iris,ComplementNB,8,brier_score,0.5931582706111197
iris,ComplementNB,8,ece,0.28708669918976093
iris,ComplementNB,8,balanced_accuracy,0.6666666666666666
iris,ComplementNB,8,geometric_mean,0.0
iris,ComplementNB,8,mcc,0.6123724356957945
iris,ComplementNB,8,weighted_f1,0.5555555555555555
iris,ComplementNB,8,fit_time,0.0009987354278564453
iris,ComplementNB,8,predict_time,0.00099945068359375
iris,ComplementNB,9,accuracy,0.6666666666666666
iris,ComplementNB,9,macro_f1,0.5555555555555555
iris,ComplementNB,9,auc_roc,0.8866666666666667
iris,ComplementNB,9,log_loss,0.9898209780651548
iris,ComplementNB,9,brier_score,0.5923475007713077
iris,ComplementNB,9,ece,0.2857111200344834
iris,ComplementNB,9,balanced_accuracy,0.6666666666666666
iris,ComplementNB,9,geometric_mean,0.0
iris,ComplementNB,9,mcc,0.6123724356957945
iris,ComplementNB,9,weighted_f1,0.5555555555555555
iris,ComplementNB,9,fit_time,0.0010004043579101562
iris,ComplementNB,9,predict_time,0.0
iris,PW-NB(k=5),0,accuracy,0.9333333333333333
iris,PW-NB(k=5),0,macro_f1,0.9326599326599326
iris,PW-NB(k=5),0,auc_roc,1.0
iris,PW-NB(k=5),0,log_loss,0.061940521796536065
iris,PW-NB(k=5),0,brier_score,0.04808318741701963
iris,PW-NB(k=5),0,ece,0.04080886957160524
iris,PW-NB(k=5),0,balanced_accuracy,0.9333333333333332
iris,PW-NB(k=5),0,geometric_mean,0.9283177667225558
iris,PW-NB(k=5),0,mcc,0.9060606745389328
iris,PW-NB(k=5),0,weighted_f1,0.9326599326599326
iris,PW-NB(k=5),0,fit_time,0.003000020980834961
iris,PW-NB(k=5),0,predict_time,0.0
iris,PW-NB(k=5),1,accuracy,1.0
iris,PW-NB(k=5),1,macro_f1,1.0
iris,PW-NB(k=5),1,auc_roc,1.0
iris,PW-NB(k=5),1,log_loss,0.01777383790887476
iris,PW-NB(k=5),1,brier_score,0.00405796243395218
iris,PW-NB(k=5),1,ece,0.016663461853293433
iris,PW-NB(k=5),1,balanced_accuracy,1.0
iris,PW-NB(k=5),1,geometric_mean,1.0
iris,PW-NB(k=5),1,mcc,1.0
iris,PW-NB(k=5),1,weighted_f1,1.0
iris,PW-NB(k=5),1,fit_time,0.0019998550415039062
iris,PW-NB(k=5),1,predict_time,0.0009999275207519531
iris,PW-NB(k=5),2,accuracy,1.0
iris,PW-NB(k=5),2,macro_f1,1.0
iris,PW-NB(k=5),2,auc_roc,1.0
iris,PW-NB(k=5),2,log_loss,0.0012002067086582158
iris,PW-NB(k=5),2,brier_score,2.0884311815174987e-05
iris,PW-NB(k=5),2,ece,0.0011949460683574609
iris,PW-NB(k=5),2,balanced_accuracy,1.0
iris,PW-NB(k=5),2,geometric_mean,1.0
iris,PW-NB(k=5),2,mcc,1.0
iris,PW-NB(k=5),2,weighted_f1,1.0
iris,PW-NB(k=5),2,fit_time,0.001999378204345703
iris,PW-NB(k=5),2,predict_time,0.0010039806365966797
iris,PW-NB(k=5),3,accuracy,0.9333333333333333
iris,PW-NB(k=5),3,macro_f1,0.9326599326599326
iris,PW-NB(k=5),3,auc_roc,1.0
