dataset,classifier,metric,mean,std
MagicTelescope,ComplementNB,accuracy,0.7790220820189274,0.008092300802658242
MagicTelescope,ComplementNB,auc_roc,0.8053802162697596,0.00978415280074759
MagicTelescope,ComplementNB,balanced_accuracy,0.7580098218074603,0.008922383481264985
MagicTelescope,ComplementNB,brier_score,0.4438833311576369,0.0014805880361840702
MagicTelescope,ComplementNB,ece,0.2300062916806803,0.00826855382175381
MagicTelescope,ComplementNB,geometric_mean,0.7546267408047205,0.009410258255347847
MagicTelescope,ComplementNB,log_loss,0.6364935537399166,0.001502612073470687
MagicTelescope,ComplementNB,macro_f1,0.7578201968234917,0.00874946304104351
MagicTelescope,ComplementNB,mcc,0.5157826937989232,0.017475858213642236
MagicTelescope,ComplementNB,weighted_f1,0.7790736613488648,0.00801538833808923
MagicTelescope,GaussianNB,accuracy,0.7268664563617245,0.003928586009719575
MagicTelescope,GaussianNB,auc_roc,0.7571231670063896,0.008411399569796434
MagicTelescope,GaussianNB,balanced_accuracy,0.646723572984623,0.005928519225583765
MagicTelescope,GaussianNB,brier_score,0.4720686904582534,0.008743579523536493
MagicTelescope,GaussianNB,ece,0.21816418903616,0.0046685061923559005
MagicTelescope,GaussianNB,geometric_mean,0.587460718851456,0.011110370273611881
MagicTelescope,GaussianNB,log_loss,1.0565599116663171,0.0557009938583705
MagicTelescope,GaussianNB,macro_f1,0.6526562911990743,0.00708784322647932
MagicTelescope,GaussianNB,mcc,0.3599352907001959,0.010617643411319537
MagicTelescope,GaussianNB,weighted_f1,0.7002873404322172,0.005434013641055247
MagicTelescope,MultinomialNB,accuracy,0.6669821240799159,0.0034091318375851125
MagicTelescope,MultinomialNB,auc_roc,0.8053802162697596,0.00978415280074759
MagicTelescope,MultinomialNB,balanced_accuracy,0.5266026499367255,0.004867643465845428
MagicTelescope,MultinomialNB,brier_score,0.4057736479335922,0.0019661214782575142
MagicTelescope,MultinomialNB,ece,0.17480032235102766,0.007590609869941603
MagicTelescope,MultinomialNB,geometric_mean,0.23042166055490493,0.021491302420279114
MagicTelescope,MultinomialNB,log_loss,0.5943897796898937,0.002076005519471172
MagicTelescope,MultinomialNB,macro_f1,0.44850804368009534,0.009765675256688219
MagicTelescope,MultinomialNB,mcc,0.1853964601815302,0.01663943218988171
MagicTelescope,MultinomialNB,weighted_f1,0.5515080169515322,0.007380944833433862
MagicTelescope,PW-NB(auto),accuracy,0.7361198738170347,0.00528355562958865
MagicTelescope,PW-NB(auto),auc_roc,0.7619960020210874,0.009075582968461657
MagicTelescope,PW-NB(auto),balanced_accuracy,0.6514992213123666,0.00700016305408486
MagicTelescope,PW-NB(auto),best_k,45.0,0.0
MagicTelescope,PW-NB(auto),brier_score,0.4755411993205206,0.008600008459454163
MagicTelescope,PW-NB(auto),ece,0.2276019420966498,0.0050161112357616465
MagicTelescope,PW-NB(auto),geometric_mean,0.5855625696766572,0.012696862417283046
MagicTelescope,PW-NB(auto),log_loss,1.3364320796479903,0.06605079983696319
MagicTelescope,PW-NB(auto),macro_f1,0.6576459900262207,0.008528745948994505
MagicTelescope,PW-NB(auto),mcc,0.38553856064487807,0.014650542118930458
MagicTelescope,PW-NB(auto),mean_pr,0.7659749970790981,0.000691619371744877
MagicTelescope,PW-NB(auto),weighted_f1,0.706271247366751,0.006725859209950392
MagicTelescope,PW-NB(k=15),accuracy,0.7345951629863301,0.00514423829203151
MagicTelescope,PW-NB(k=15),auc_roc,0.7592519316502235,0.00917281466489491
MagicTelescope,PW-NB(k=15),balanced_accuracy,0.6502889485650825,0.00705939721671557
MagicTelescope,PW-NB(k=15),brier_score,0.477745054482115,0.00876871776260639
MagicTelescope,PW-NB(k=15),ece,0.22831316996343753,0.005178787365750217
MagicTelescope,PW-NB(k=15),geometric_mean,0.584744138812836,0.012662419589098011
MagicTelescope,PW-NB(k=15),log_loss,1.3288617274223715,0.06580719847713005
MagicTelescope,PW-NB(k=15),macro_f1,0.6562778320740169,0.008583414175763188
MagicTelescope,PW-NB(k=15),mcc,0.38112343416731725,0.014190576066962238
MagicTelescope,PW-NB(k=15),mean_pr,0.7826330957666394,0.0009318898415530767
MagicTelescope,PW-NB(k=15),weighted_f1,0.7049529908914869,0.006751437720986062
MagicTelescope,PW-NB(k=30),accuracy,0.735856992639327,0.004964364858424165
MagicTelescope,PW-NB(k=30),auc_roc,0.760977185448699,0.009102485612578013
MagicTelescope,PW-NB(k=30),balanced_accuracy,0.6513989126719035,0.006658641751961003
MagicTelescope,PW-NB(k=30),brier_score,0.47648903679938676,0.008701298821960843
MagicTelescope,PW-NB(k=30),ece,0.22774628181168688,0.00572174707408794
MagicTelescope,PW-NB(k=30),geometric_mean,0.5857269264283057,0.01226092998446417
MagicTelescope,PW-NB(k=30),log_loss,1.3341190227166044,0.06598729204826395
MagicTelescope,PW-NB(k=30),macro_f1,0.6575549052930789,0.008111640175230845
MagicTelescope,PW-NB(k=30),mcc,0.3847559263804016,0.013764513673095946
MagicTelescope,PW-NB(k=30),mean_pr,0.7724716672508471,0.0007577063300281598
MagicTelescope,PW-NB(k=30),weighted_f1,0.7061338104231252,0.006364320919064231
MagicTelescope,PW-NB(k=45),accuracy,0.7361198738170347,0.00528355562958865
MagicTelescope,PW-NB(k=45),auc_roc,0.7619960020210874,0.009075582968461657
MagicTelescope,PW-NB(k=45),balanced_accuracy,0.6514992213123666,0.00700016305408486
MagicTelescope,PW-NB(k=45),brier_score,0.4755411993205206,0.008600008459454163
